assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,934.0,0.0,99.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,934.0,0.0,100.0,0.0,43.0,1.0,2.0,0.0,0.0,27.0,44.0,17.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,934.0,0.0,101.0,0.0,58.0,0.0,1.0,0.0,0.0,8.0,19.0,11.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,934.0,0.0,102.0,0.0,52.0,1.0,1.0,0.0,0.0,-5.0,1.0,6.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,934.0,0.0,103.0,0.0,51.0,0.0,2.0,0.0,0.0,-3.0,8.0,11.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,934.0,0.0,104.0,0.0,49.0,0.0,2.0,0.0,0.0,-1.0,1.0,2.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,934.0,0.0,105.0,0.0,47.0,0.0,2.0,0.0,0.0,-3.0,1.0,4.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,934.0,0.0,106.0,0.0,51.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,934.0,0.0,107.0,0.0,54.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,934.0,0.0,108.0,0.0,50.0,0.0,2.0,0.0,0.0,-1.0,4.0,5.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,934.0,0.0,109.0,0.0,57.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,934.0,0.0,110.0,0.0,57.0,1.0,0.0,0.0,0.0,3.0,6.0,3.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,934.0,0.0,111.0,0.0,55.0,1.0,3.0,0.0,0.0,-3.0,0.0,3.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,934.0,0.0,112.0,0.0,56.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,934.0,0.0,113.0,0.0,56.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,934.0,0.0,114.0,0.0,61.0,4.0,0.0,0.0,0.0,4.0,6.0,2.0,45.0,0.0,0.0,0.0
