name,team,position,value,total_points
Aaron Cresswell,21,2,55.0,0.0
Aaron Lennon,11,3,60.0,1.0
Aaron Ramsey,3,3,80.0,2.0
Abdoulaye Doucouré,57,3,50.0,0.0
Abdul Rahman Baba,8,2,55.0,0.0
Abel Hernández,88,4,60.0,5.0
Adama Diomande,88,4,45.0,8.0
Adam Clayton,25,3,45.0,2.0
Adam Federici,91,1,45.0,0.0
Adam Forshaw,25,3,45.0,1.0
Adam Lallana,14,3,70.0,11.0
Adam Matthews,56,2,40.0,0.0
Adam Reach,25,3,45.0,0.0
Adam Smith,91,2,45.0,7.0
Adlène Guédioura,25,3,45.0,1.0
Adnan Januzaj,56,3,55.0,1.0
Adrián San Miguel del Castillo,21,1,50.0,2.0
Ahmed El Mohamady,88,3,50.0,2.0
Ahmed Musa,13,4,75.0,2.0
Alberto Moreno,14,2,50.0,0.0
Albert Adomah,25,3,55.0,2.0
Aleksandar Kolarov,43,2,60.0,1.0
Alexander Manninger,14,1,40.0,0.0
Alexis Sánchez,3,3,110.0,2.0
Alex Baptiste,25,2,40.0,0.0
Alex Bruce,88,2,40.0,0.0
Alex Iwobi,3,3,60.0,3.0
Alex McCarthy,20,1,45.0,0.0
Alex Oxlade-Chamberlain,3,3,60.0,6.0
Alex Pritchard,6,3,45.0,0.0
Allan-Roméo Nyom,35,2,45.0,0.0
Allan McGregor,88,1,45.0,0.0
Almen Abdi,57,3,50.0,0.0
Ander Herrera,1,3,65.0,1.0
Andreas Pereira,1,3,45.0,0.0
Andrew Robertson,88,2,45.0,2.0
Andrew Surman,91,3,50.0,2.0
Andre Gray,90,4,65.0,2.0
Andros Townsend,31,3,65.0,2.0
André Ayew,21,3,75.0,1.0
Andy Carroll,21,4,65.0,2.0
Andy King,13,3,50.0,2.0
Angelo Ogbonna,21,2,50.0,0.0
Angel Rangel,80,2,45.0,1.0
Anthony Martial,1,3,95.0,11.0
Antonio Barragán,25,2,45.0,2.0
Antonio Valencia,1,2,55.0,2.0
Arouna Koné,11,4,55.0,1.0
Arthur Masuaku,21,2,50.0,1.0
Artur Boruc,91,1,45.0,2.0
Ashley Barnes,90,4,45.0,0.0
Ashley Williams,11,2,50.0,0.0
Ashley Young,1,3,55.0,0.0
Asmir Begovic,8,1,50.0,0.0
Bacary Sagna,43,2,55.0,2.0
Bafétimbi Gomis,80,4,65.0,0.0
Bakary Sako,31,3,55.0,0.0
Bamidele Alli,6,3,85.0,2.0
Bartosz Kapustka,13,3,55.0,0.0
Bastian Schweinsteiger,1,3,55.0,0.0
Benik Afobe,91,4,60.0,1.0
Benjamin Chilwell,13,2,45.0,0.0
Ben Davies,6,2,50.0,0.0
Ben Foster,35,1,45.0,10.0
Ben Gibson,25,2,45.0,2.0
Ben Mee,90,2,45.0,2.0
Ben Watson,57,3,45.0,-2.0
Bernardo Espinosa Zúñiga,25,2,45.0,0.0
Bertrand Traore,8,3,55.0,0.0
Billy Jones,56,2,45.0,0.0
Boaz Myhill,35,1,45.0,0.0
Bojan Krkic Perez,110,3,60.0,2.0
Borja Bastón,80,4,70.0,0.0
Bradley Guzan,25,1,45.0,0.0
Bradley Smith,91,2,40.0,0.0
Branislav Ivanovic,8,2,60.0,2.0
Brendan Galloway,11,2,45.0,0.0
Brian Lenihan,88,2,40.0,0.0
Brice Dja Djédjé,57,2,45.0,0.0
Bryan Oviedo,56,3,45.0,0.0
Callum McManaman,35,3,45.0,0.0
Callum Wilson,91,4,65.0,2.0
Calum Chambers,25,2,45.0,6.0
Cameron Borthwick-Jackson,1,2,45.0,0.0
Cameron Brannagan,14,3,45.0,0.0
Cameron Carter-Vickers,6,2,45.0,0.0
Carlos De Pena,25,3,45.0,0.0
Carl Jenkinson,3,2,50.0,0.0
Cesc Fàbregas,8,3,75.0,0.0
Charlie Adam,110,3,50.0,0.0
Charlie Austin,20,4,65.0,1.0
Charlie Daniels,91,2,50.0,1.0
Cheikhou Kouyaté,21,3,55.0,2.0
Christian Benteke,31,4,75.0,0.0
Christian Eriksen,6,3,85.0,2.0
Christian Fuchs,13,2,55.0,0.0
Christian Kabasele,57,2,50.0,0.0
Chris Brunt,35,2,50.0,0.0
Chris Long,90,4,45.0,0.0
Chris Smalling,1,2,60.0,0.0
Chuba Akpom,3,4,55.0,0.0
Chung-yong Lee,31,3,45.0,3.0
Claudio Yacob,35,3,45.0,3.0
Clinton N'Jie,6,4,60.0,0.0
Connor Randall,14,2,40.0,0.0
Connor Wickham,31,4,60.0,2.0
Costel Pantilimon,57,1,45.0,0.0
Craig Cathcart,57,2,45.0,2.0
Craig Dawson,35,2,50.0,5.0
Craig Gardner,35,3,55.0,3.0
Cristhian Stuani,25,4,50.0,0.0
Cristian Gamboa,35,2,40.0,0.0
Cuco Martina,20,2,45.0,0.0
Curtis Davies,88,2,50.0,1.0
Cédric Soares,20,2,50.0,2.0
César Azpilicueta,8,2,60.0,5.0
Dael Fry,25,2,40.0,0.0
Daley Blind,1,2,55.0,2.0
Damien Delaney,31,2,50.0,2.0
Daniel Amartey,13,3,45.0,1.0
Daniel Ayala,25,2,50.0,0.0
Daniel Drinkwater,13,3,55.0,2.0
Daniel Lafferty,90,2,40.0,0.0
